customer_id,country,product_type_old,full_product_price,acq_date,mrk_channel,sub_date,revenue,cost
2,Country 1,product_4,39,1/2/2015,Channel 1,1/2/2015,34.3,37.86
3,Country 1,product_4,39,1/13/2015,Channel 1,1/13/2015,39,8
4,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,7.5
5,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,29.06
6,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,15
7,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,11
8,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,20
9,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,8
10,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,37.51
11,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,38.98
12,Country 1,product_1,89,1/21/2015,Channel 1,1/21/2015,89,71
13,Country 1,product_1,89,1/21/2015,Channel 1,1/21/2015,55.2,27.88
14,Country 1,product_1,89,1/21/2015,Channel 1,1/21/2015,55.2,29.4
15,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,23.6
16,Country 1,product_1,89,1/21/2015,Channel 1,1/21/2015,55.2,8
17,Country 1,product_1,89,1/21/2015,Channel 1,1/21/2015,55.2,52.91
18,Country 1,product_1,89,1/21/2015,Channel 1,1/21/2015,55.2,15
19,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,32.39,29.76
20,Country 1,product_3,99,1/21/2015,Channel 1,1/21/2015,79.2,49.34
21,Country 1,product_3,99,1/21/2015,Channel 1,1/21/2015,79.2,29.9
22,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,23
23,Country 1,product_3,99,1/21/2015,Channel 1,1/21/2015,79.2,345.4
24,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,29.25,20.56
25,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,35
26,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,20
27,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,9
28,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,26.52
29,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,14.4
30,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,18.62
31,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,16.02
32,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,40.14
33,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,27
34,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,17
35,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,7
36,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,16
37,Country 1,product_4,39,1/21/2015,Channel 1,1/21/2015,31.2,26
